Month,PlannerName,Product,ProductFamily,Plant, Forecast_Tons ,Resource,Scenario Version,Comment
2028-01,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-02,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-03,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-04,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-05,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-06,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-07,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-08,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-09,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-10,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-11,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2028-12,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.01,CA04 - 4000L JD,50 case,12017105
2029-01,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.02,CA04 - 4000L JD,50 case,12017105
2029-02,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.02,CA04 - 4000L JD,50 case,12017105
2029-03,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.02,CA04 - 4000L JD,50 case,12017105
2029-04,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.02,CA04 - 4000L JD,50 case,12017105
2029-05,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.02,CA04 - 4000L JD,50 case,12017105
2029-06,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.02,CA04 - 4000L JD,50 case,12017105
2029-07,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.02,CA04 - 4000L JD,50 case,12017105
2029-08,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.02,CA04 - 4000L JD,50 case,12017105
2029-09,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.02,CA04 - 4000L JD,50 case,12017105
